"Rank", "Title", "Release", "Distributor", "Genre", "MPAA", "Gross", "Tickets", "Adjusted Gross"
239,"Mid-August Lunch","3/17/2010","Zeitgeist","?","?",675299,85589,675297
240,"The Polar Express","11/10/2004","Warner Bros.","Adventure","G",672796,85272,672796
241,"Where the Wild Things Are","10/16/2009","Warner Bros.","Adventure","PG",666976,84534,666973
242,"The Concert","7/23/2010","Weinstein Co.","Drama","PG-13",657986,83395,657987
243,"We Are Family","9/3/2010","UTV Communications","Drama","?",638144,80880,638143
244,"The Virginity Hit","9/24/2010","Sony Pictures","Comedy","R",636706,80698,636707
245,"Ninja Assassin","11/25/2009","Warner Bros.","Action","R",630109,79862,630111
246,"Ajami","2/3/2010","Kino International","Drama","?",621859,78816,621858
247,"Agora","5/28/2010","Newmarket Films","Drama","R",619423,78507,619420
248,"Vincere","3/19/2010","IFC Films","Drama","?",619162,78474,619160
249,"Cloudy with a Chance of Meatballs","9/18/2009","Sony Pictures","Comedy","PG",605368,76726,605368
250,"Howl","9/24/2010","Oscilloscope Pictures","Drama","R",591812,75008,591813
251,"Mother","3/12/2010","Magnolia Pictures","Drama","R",551509,69900,551511
252,"Ondine","6/4/2010","Magnolia Pictures","?","PG-13",550472,69768,550470
253,"The Art of the Steal","2/26/2010","IFC Films","?","?",544890,69061,544891
254,"Jack Goes Boating","9/17/2010","Overture Films","Comedy","R",541992,68694,541996
255,"Khatta Meetha","7/23/2010","Eros Entertainment","Comedy","?",541904,68682,541901
256,"Mesrine: Killer Instinct","8/27/2010","Music Box Films","Drama","R",533479,67615,533482
257,"Standing Ovation","7/16/2010","Rocky Mountain Pictures","?","PG",531806,67403,531810
258,"Mademoiselle Chambon","6/4/2010","Lorber Films","?","?",530491,67236,530492
259,"Veer","1/22/2010","Eros Entertainment","?","?",527193,66818,527194
260,"Tamara Drewe","10/8/2010","Sony Pictures Classics","Comedy","R",526639,66748,526642
261,"Preacher's Kid","1/29/2010","Gener8xion Entertainment","Drama","PG-13",514522,65212,514523
262,"L'arnacouer","9/10/2010","IFC Films","Comedy","?",504030,63882,504029
263,"Poema de Salvacion","10/15/2010","CanZion Films","?","PG-13",493470,62544,493472
264,"The City of Your Final Destination","4/16/2010","Hyde Park Films","Drama","PG-13",493296,62522,493299
265,"Made in Dagenham","11/19/2010","Sony Pictures Classics","Drama","R",492379,62405,492375
266,"Phish 3D","4/30/2010","Cinedigm","Concert/Performance","?",485913,61586,485914
267,"Dolphins and Whales Tribes of the Ocean 3D","2/15/2008","3D Entertainment","Documentary","Not Rated",458309,58087,458306
268,"Gunless","4/30/2010","Alliance","?","?",458054,58055,458054
269,"The Messenger","11/13/2009","Oscilloscope Pictures","Drama","R",455286,57704,455285
270,"The Extra Man","7/30/2010","Magnolia Pictures","?","R",453377,57462,453375
271,"The Trotsky","5/14/2010","Alliance","?","?",440008,55768,440010
272,"Rabbit Hole","12/17/2010","Lionsgate","Drama","PG-13",435229,55162,435228
